City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kulhudhuffushi,6.6221,73.07,28.5,73,73,5.82,MV,1722730706
1,ushuaia,-54.8,-68.3,-1.19,64,100,4.63,AR,1722731214
2,vadso,70.0744,29.7487,10.49,87,100,4.12,NO,1722731215
3,lautoka,-17.6167,177.4667,26.92,69,75,5.66,FJ,1722731216
4,fale old settlement,-9.3852,-171.2468,27.7,79,63,5.95,TK,1722731217
5,albany,42.6001,-73.9662,24.77,72,81,1.52,US,1722731218
6,geraldton,-28.7667,114.6,9.23,81,0,5.66,AU,1722731219
7,ancud,-41.8697,-73.8203,8.32,91,100,5.11,CL,1722730684
8,nemuro,43.3236,145.575,18.34,93,73,4.64,JP,1722731222
9,bilibino,68.0546,166.4372,8.56,65,100,0.99,RU,1722731223
10,merizo village,13.2658,144.6691,28.88,88,100,8.49,GU,1722731224
11,waitangi,-43.9535,-176.5597,8.79,87,76,3.13,NZ,1722731225
12,carnarvon,-24.8667,113.6333,16.42,62,0,4.87,AU,1722731226
13,riviere-du-loup,47.8304,-69.5342,20.15,94,91,3.09,CA,1722731007
14,lihue,21.9789,-159.3672,27.77,75,40,4.63,US,1722730726
15,puerto san jose,13.9256,-90.8244,30.03,82,40,2.06,GT,1722730980
16,olonkinbyen,70.9221,-8.7187,5.24,95,94,3.8,SJ,1722731230
17,strzelin,50.7816,17.0648,16.33,79,27,1.62,PL,1722731231
18,kiunga,-6.1219,141.2906,22.59,95,100,1.74,PG,1722730637
19,champerico,14.3,-91.9167,25.3,80,86,4.14,GT,1722731234
20,murun-kuren,49.6342,100.1625,17.09,62,3,1.03,MN,1722731235
21,port-aux-francais,-49.35,70.2167,2.46,86,35,8.58,TF,1722731236
22,galle,6.0367,80.217,28.29,83,44,0.45,LK,1722731237
23,salisbury,51.0693,-1.7957,13.87,86,90,3.6,GB,1722731219
24,stanley,54.868,-1.6985,11.51,90,0,1.54,GB,1722731034
25,utrik,11.2278,169.8474,28.39,76,4,3.85,MH,1722731240
26,margaret river,-33.95,115.0667,9.76,92,3,3.55,AU,1722731055
27,hermanus,-34.4187,19.2345,11.98,81,81,10.09,ZA,1722731242
28,constantia,44.1833,28.65,21.5,61,61,6.5,RO,1722730744
29,edinburgh of the seven seas,-37.0676,-12.3116,12.33,80,97,15.13,SH,1722731244
30,ahar,38.4774,47.0699,17.86,67,0,2.13,IR,1722731246
31,west island,-12.1568,96.8225,25.99,78,12,4.12,CC,1722731247
32,hawaiian paradise park,19.5933,-154.9731,26.52,84,100,1.54,US,1722731248
33,solnechnyy,50.7214,136.6319,20.01,53,37,2.1,RU,1722731249
34,ponte vedra beach,30.2397,-81.3856,29.46,78,0,3.6,US,1722731250
35,grytviken,-54.2811,-36.5092,-5.13,91,100,3.75,GS,1722731251
36,papatowai,-46.5619,169.4708,9.61,57,76,3.01,NZ,1722731252
37,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,40,0,2.0,RU,1722730675
38,afaahiti,-17.75,-149.2833,25.93,73,80,5.6,PF,1722731254
39,katsuura,35.1333,140.3,26.79,77,12,1.82,JP,1722731255
40,santo antonio do ica,-3.1022,-67.9397,24.78,86,34,0.3,BR,1722731256
41,pyshma,56.9523,63.2513,12.5,90,43,1.14,RU,1722731257
42,puerto baquerizo moreno,-0.9,-89.6,19.3,78,76,4.63,EC,1722730826
43,miles city,46.4083,-105.8406,35.54,14,0,4.63,US,1722731260
44,adamstown,-25.066,-130.1015,21.02,74,43,6.73,PN,1722731261
45,jamestown,42.097,-79.2353,23.8,80,0,1.54,US,1722730934
46,gorgoram,12.6398,10.7039,25.27,70,84,5.82,NG,1722731263
47,taulaga,-11.0553,-171.0883,27.51,71,96,5.46,AS,1722731190
48,lhuentse,27.6679,91.1839,18.64,93,92,0.54,BT,1722731265
49,bor,56.3567,44.0669,13.96,88,2,2.66,RU,1722731266
50,nar'yan-mar,67.6713,53.087,8.19,85,85,7.44,RU,1722730741
51,blackmans bay,-43.0167,147.3167,10.07,87,37,0.45,AU,1722731268
52,borovskoy,53.8,64.15,13.69,92,69,3.21,KZ,1722731269
53,viedma,-40.8135,-62.9967,12.13,33,61,5.79,AR,1722731270
54,nieuw amsterdam,5.8833,-55.0833,26.01,89,40,3.09,SR,1722731271
55,bredasdorp,-34.5322,20.0403,7.67,92,89,3.47,ZA,1722731273
56,pacific grove,36.6177,-121.9166,26.79,86,0,3.6,US,1722731274
57,maracacume,-2.0428,-45.9592,22.46,76,5,1.68,BR,1722731275
58,st. john's,47.5649,-52.7093,19.66,80,40,8.75,CA,1722731276
59,akureyri,65.6835,-18.0878,11.96,76,40,0.51,IS,1722731277
60,tiszafoldvar,46.9833,20.25,17.01,82,0,2.57,HU,1722731278
61,ilulissat,69.2167,-51.1,11.01,50,28,0.0,GL,1722731051
62,kerikeri,-35.2268,173.9474,14.39,81,100,4.02,NZ,1722730731
63,sulak,43.2734,47.5146,25.03,73,45,4.92,RU,1722731281
64,whitehorse,60.7161,-135.0538,18.43,46,75,3.6,CA,1722731064
65,tsiombe,-25.3,45.4833,16.3,91,0,1.02,MG,1722731083
66,minas de marcona,-15.2119,-75.1103,10.98,87,20,6.76,PE,1722731284
67,queenstown,-31.8976,26.8753,13.46,29,64,3.65,ZA,1722730709
68,port elizabeth,-33.918,25.5701,20.16,21,0,2.57,ZA,1722731222
69,oktyabr'skoye,43.0645,44.7417,15.08,94,8,2.0,RU,1722731289
70,iskateley,67.6803,53.1512,8.21,84,83,7.43,RU,1722731203
71,nizhniy odes,63.6445,54.856,15.06,98,72,3.12,RU,1722731291
72,howrah,22.5892,88.3103,28.0,94,75,0.0,IN,1722731058
73,kidal,18.4411,1.4078,29.44,49,54,6.7,ML,1722731142
74,port lincoln,-34.7333,135.8667,12.08,71,100,4.18,AU,1722730764
75,remire-montjoly,4.9167,-52.2667,25.02,94,0,1.03,GF,1722730782
76,vorgashor,67.5833,63.95,10.69,72,94,7.04,RU,1722731107
77,messaad,34.1543,3.5031,26.76,32,0,3.56,DZ,1722731297
78,lammi,61.0833,25.0167,13.38,96,84,1.5,FI,1722731299
79,auki,-8.7676,160.7034,27.57,84,74,2.34,SB,1722731300
80,wynyard,-41.0,145.7167,11.59,76,39,4.37,AU,1722731301
81,conakry,9.538,-13.6773,25.04,94,100,2.06,GN,1722731302
82,dudinka,69.4058,86.1778,12.27,65,50,6.12,RU,1722730926
83,praia da vitoria,38.7333,-27.0667,23.2,83,0,1.62,PT,1722730895
84,bethel,41.3712,-73.414,23.84,94,0,1.54,US,1722731305
85,strezhevoy,60.7333,77.5889,17.45,96,100,1.92,RU,1722731306
86,tiksi,71.6872,128.8694,7.51,74,100,0.99,RU,1722730751
87,ribeira grande,38.5167,-28.7,22.1,88,2,1.34,PT,1722731308
88,puerto natales,-51.7236,-72.4875,1.6,99,100,1.26,CL,1722731309
89,iqaluit,63.7506,-68.5145,4.85,80,40,8.75,CA,1722731310
90,longyearbyen,78.2186,15.6401,9.91,100,75,3.6,SJ,1722730721
91,rifle,39.5347,-107.7831,36.33,100,0,1.54,US,1722731313
92,punta arenas,-53.15,-70.9167,2.06,75,100,5.14,CL,1722731314
93,ulladulla,-35.35,150.4667,13.8,60,98,2.09,AU,1722731315
94,mount pearl,47.5166,-52.7813,19.19,80,40,8.75,CA,1722730807
95,keflavik,64.0049,-22.5624,11.95,87,75,5.14,IS,1722730808
96,sinabang,2.4803,96.3801,24.86,91,100,4.19,ID,1722731318
97,dingli,35.8614,14.3822,26.09,83,0,2.57,MT,1722731319
98,yellowknife,62.456,-114.3525,21.34,48,75,3.09,CA,1722731320
99,avarua,-21.2078,-159.775,24.03,53,100,3.6,CK,1722731015
100,vallenar,-28.5708,-70.7581,14.22,58,100,1.2,CL,1722731323
101,tokar,18.4254,37.729,33.49,44,89,2.6,SD,1722731324
102,tura,25.5198,90.2201,23.41,97,91,1.97,IN,1722731326
103,flying fish cove,-10.4217,105.6791,25.82,83,100,5.66,CX,1722731327
104,tazacorte,28.629,-17.9293,22.54,83,11,6.69,ES,1722731093
105,hoa binh,20.8133,105.3383,24.34,97,74,0.68,VN,1722731330
106,ta`u,-14.2336,-169.5144,26.63,63,73,3.53,AS,1722731331
107,hasaki,35.7333,140.8333,31.27,72,57,1.59,JP,1722730742
108,invercargill,-46.4,168.35,8.9,74,71,1.79,NZ,1722730759
109,hammerfest,70.6634,23.6821,15.25,72,21,1.54,NO,1722731334
110,mbandaka,0.0487,18.2603,22.46,77,83,1.88,CD,1722731335
111,oranjemund,-28.55,16.4333,14.43,77,77,6.98,NA,1722731336
112,vila velha,-20.3297,-40.2925,21.08,97,100,0.89,BR,1722730752
113,kudahuvadhoo,2.6708,72.8944,27.91,71,62,1.03,MV,1722731340
114,coquimbo,-29.9533,-71.3436,12.21,76,0,1.03,CL,1722731341
115,slawno,54.3628,16.6789,14.45,94,75,2.25,PL,1722731342
116,haiku-pauwela,20.9219,-156.3051,27.92,75,40,11.32,US,1722731343
117,port alfred,-33.5906,26.891,19.14,33,82,4.39,ZA,1722731344
118,molchanovo,57.5817,83.7692,16.89,84,9,2.26,RU,1722731345
119,georgetown,5.4112,100.3354,26.96,74,20,1.03,MY,1722731083
120,santiago de cao,-7.9589,-79.2392,17.07,88,64,3.09,PE,1722731347
121,ascension,30.2169,-90.9001,28.48,78,0,0.0,US,1722731348
122,konarka,19.9,86.1167,28.22,83,100,4.02,IN,1722731159
123,kingston,17.997,-76.7936,30.53,74,20,5.66,JM,1722730572
124,hithadhoo,-0.6,73.0833,27.37,78,88,2.25,MV,1722731352
125,shubarshi,48.5872,57.1869,20.37,48,9,3.7,KZ,1722731353
126,cannonvale,-20.2833,148.7,21.99,73,61,6.46,AU,1722731354
127,puerto ayora,-0.7393,-90.3518,19.75,90,93,1.34,EC,1722731355
128,boa vista,2.8197,-60.6733,27.99,74,20,1.03,BR,1722731356
129,crotone,39.0851,17.1178,30.11,73,88,7.15,IT,1722731358
130,martapura,-3.4167,114.85,26.05,89,0,1.03,ID,1722731359
131,qaqortoq,60.7167,-46.0333,7.52,78,47,1.4,GL,1722731360
132,fort mcmurray,56.7268,-111.381,17.73,72,100,1.03,CA,1722731362
133,bakchar,57.0186,82.0711,17.61,97,75,2.2,RU,1722731363
134,dalandzadgad,43.5708,104.425,20.33,42,74,1.3,MN,1722731364
135,morehead city,34.7229,-76.726,29.0,88,20,5.66,US,1722731334
136,vilyuchinsk,52.9306,158.4028,21.15,66,97,0.81,RU,1722731367
137,cajati,-24.7361,-48.1228,18.88,85,0,0.92,BR,1722731368
138,lashio,22.9333,97.75,20.67,100,100,0.53,MM,1722731369
139,mathba,22.2855,89.9629,26.32,91,99,2.04,BD,1722731370
140,suva,-18.1416,178.4415,25.71,83,75,2.57,FJ,1722731371
141,crane,31.3974,-102.3501,31.37,36,67,8.23,US,1722730790
142,bikenibeu village,1.3673,173.1241,28.52,69,38,5.71,KI,1722731373
143,kavaratti,10.5669,72.642,27.71,79,100,5.87,IN,1722731355
144,jishui,33.7333,115.4,29.78,76,5,4.1,CN,1722731376
145,tornio,65.8481,24.1466,12.01,85,62,3.18,FI,1722731081
146,kanniyakumari,8.0833,77.5667,26.03,80,20,7.03,IN,1722731378
147,thompson,55.7435,-97.8558,19.09,42,75,2.06,CA,1722731379
148,talnakh,69.4865,88.3972,14.49,63,71,3.15,RU,1722731380
149,porto novo,6.4965,2.6036,23.61,91,86,2.96,BJ,1722731381
150,palmer,42.1584,-72.3287,25.14,78,75,2.02,US,1722731139
151,esil,51.9556,66.4042,19.65,52,95,5.68,KZ,1722731383
152,aasiaat,68.7098,-52.8699,4.81,81,5,2.97,GL,1722731385
153,atafu village,-8.5421,-172.5159,28.06,77,45,6.32,TK,1722730951
154,bahia de caraquez,-0.6,-80.4167,23.1,86,99,3.77,EC,1722731387
155,lebu,-37.6167,-73.65,9.19,93,98,3.67,CL,1722731186
156,kone,-21.0595,164.8658,22.26,43,0,5.04,NC,1722731167
157,boyolangu,-8.1181,111.8935,23.52,91,61,0.61,ID,1722731392
158,kodiak,57.79,-152.4072,13.73,77,100,6.69,US,1722731388
159,margate,51.3813,1.3862,16.5,83,100,3.6,GB,1722731266
160,vila franca do campo,37.7167,-25.4333,22.23,84,54,0.98,PT,1722731395
161,weno,7.4515,151.8468,29.97,84,100,2.57,FM,1722730837
162,college,64.8569,-147.8028,13.97,84,100,0.0,US,1722731397
163,smirnovo,54.5125,69.4222,17.75,67,73,2.76,KZ,1722731398
164,port augusta,-32.5,137.7667,13.16,69,100,3.29,AU,1722731219
165,pitkyaranta,61.5734,31.4792,13.1,96,30,3.15,RU,1722731401
166,udachny,66.4167,112.4,20.42,44,57,3.69,RU,1722731403
167,okhotsk,59.3833,143.3,16.12,67,43,0.99,RU,1722731018
168,iyidere,41.0119,40.3619,23.98,80,0,1.86,TR,1722731405
169,galliano,29.4422,-90.2992,30.0,74,0,0.0,US,1722731406
170,kayyerkan,69.3786,87.7439,10.93,73,1,5.53,RU,1722731407
171,kogalym,62.2654,74.4791,19.1,82,100,2.46,RU,1722731408
172,warmbad,-28.45,18.7333,11.94,57,13,5.32,NA,1722731410
173,senanga,-16.1167,23.2667,13.89,20,0,2.73,ZM,1722731411
174,cidreira,-30.1811,-50.2056,18.47,82,10,1.94,BR,1722731406
175,abilene,32.4487,-99.7331,37.19,36,75,5.14,US,1722731268
176,louga,58.7372,29.8453,12.53,97,47,1.41,RU,1722731414
177,port mathurin,-19.6833,63.4167,21.7,72,97,4.29,MU,1722731415
178,chernyshevskiy,63.0128,112.4714,18.53,42,0,2.18,RU,1722731416
179,lensk,60.7253,114.9278,19.9,48,99,5.47,RU,1722731417
180,klaksvik,62.2266,-6.589,11.51,94,8,5.75,FO,1722731418
181,ephrata,40.1798,-76.1788,23.32,83,40,2.06,US,1722731419
182,aldan,58.6031,125.3894,18.26,62,100,1.35,RU,1722731420
183,ayr,55.4627,-4.6339,13.61,88,40,2.57,GB,1722731422
184,quibala,-10.7337,14.98,17.89,70,0,0.61,AO,1722731423
185,saldanha,-33.0117,17.9442,13.03,85,100,8.61,ZA,1722731424
186,sitka,57.0531,-135.33,17.94,63,40,6.17,US,1722731209
187,shuangjiang,26.1547,109.7138,26.75,73,5,2.94,CN,1722731426
188,road town,18.4167,-64.6167,28.05,78,40,3.6,VG,1722731427
189,port saint john's,-31.6229,29.5448,18.66,30,66,3.85,ZA,1722731428
190,colonel hill,22.7667,-74.2167,28.65,82,100,7.56,BS,1722731429
191,ventspils,57.3894,21.5606,10.96,100,98,0.0,LV,1722731430
192,pilar,-9.5972,-35.9567,20.96,96,69,1.36,BR,1722731431
193,saint-joseph,-21.3667,55.6167,18.21,74,0,1.64,RE,1722731432
194,la passe,45.5549,-0.8967,17.13,86,8,2.62,FR,1722731433
195,kutum,14.2,24.6667,23.29,75,100,5.15,SD,1722731435
196,bonthe,7.5264,-12.505,24.67,88,100,4.64,SL,1722731436
197,isangel,-19.55,169.2667,22.63,56,7,5.71,VU,1722731437
198,kapuskasing,49.4169,-82.4331,23.05,53,20,3.6,CA,1722731401
199,charters towers,-20.1,146.2667,22.06,43,28,8.39,AU,1722731439
200,mahina,-17.5065,-149.489,26.87,65,100,7.72,PF,1722731440
201,mugia,43.1041,-9.2179,18.28,89,1,3.87,ES,1722731441
202,cape canaveral,28.4058,-80.6048,28.93,87,0,5.66,US,1722731345
203,tarko-sale,64.9225,77.785,18.77,87,100,4.24,RU,1722731444
204,kachug,53.9606,105.8817,21.09,58,17,1.03,RU,1722731445
205,blagoveshchensk,50.2667,127.5333,21.34,94,75,5.0,RU,1722731446
206,ibirama,-27.0569,-49.5178,18.75,99,11,0.77,BR,1722731447
207,belluru,12.9911,76.7444,20.95,87,100,4.19,IN,1722731448
208,yamada,39.4667,141.95,28.84,68,6,2.18,JP,1722731449
209,mont-tremblant,46.1949,-74.6264,22.77,83,72,0.0,CA,1722731450
210,lorengau,-2.0226,147.2712,27.7,83,75,5.05,PG,1722730988
211,waingapu,-9.6567,120.2641,26.4,62,100,3.54,ID,1722731413
212,faya-largeau,17.9257,19.1043,33.79,43,75,4.85,TD,1722730869
213,sainte-rose,16.3324,-61.6979,27.02,89,40,2.06,GP,1722731454
214,emerald,-23.5333,148.1667,19.63,51,0,7.16,AU,1722731455
215,san patricio,28.017,-97.5169,33.08,63,0,6.25,US,1722731457
216,i-n-salah,27.1935,2.4607,34.41,10,0,3.6,DZ,1722731458
217,spirovo,57.419,34.9766,12.08,98,49,1.6,RU,1722731459
218,wailua homesteads,22.0669,-159.378,27.44,73,40,4.63,US,1722730860
219,undurkhaan,47.3194,110.6556,17.39,69,14,3.61,MN,1722730927
220,fuqing,25.725,119.3794,29.87,67,0,0.66,CN,1722731462
221,mount isa,-20.7333,139.5,21.87,46,1,8.23,AU,1722730815
222,peace river,56.2501,-117.286,24.17,49,0,3.6,CA,1722730936
223,kruisfontein,-34.0033,24.7314,15.61,21,100,4.8,ZA,1722731466
224,cabo san lucas,22.8909,-109.9124,35.61,48,20,8.75,MX,1722730951
225,poronaysk,49.2167,143.1167,13.79,77,100,2.55,RU,1722731469
226,nantucket,41.2835,-70.0995,25.56,98,23,8.4,US,1722730951
227,la sarre,48.8002,-79.1996,19.79,65,4,2.95,CA,1722731381
228,kamaishi,39.2667,141.8833,28.7,70,3,2.79,JP,1722731472
229,tanjung pinang,0.9167,104.45,27.02,74,99,6.21,ID,1722731473
230,anadyr,64.75,177.4833,9.28,87,100,8.94,RU,1722731474
231,badger,64.8,-147.5333,13.93,83,100,0.0,US,1722730984
232,al ghayzah,16.2079,52.176,26.04,81,91,2.94,YE,1722731476
233,belmonte,-15.8631,-38.8828,21.96,87,16,3.52,BR,1722731477
234,constitucion,-35.3333,-72.4167,10.17,78,88,1.64,CL,1722731374
235,cosquin,-31.2451,-64.4656,13.13,40,90,1.2,AR,1722731417
236,mata-utu,-13.2816,-176.1745,26.86,77,5,4.48,WF,1722731481
237,khorixas,-20.3667,14.9667,12.89,56,0,0.19,NA,1722731482
238,bathsheba,13.2167,-59.5167,29.34,79,40,8.23,BB,1722730915
239,gadzhiyevo,69.2551,33.3362,9.11,94,26,3.09,RU,1722731077
240,buharkent,37.964,28.7427,26.1,24,0,1.83,TR,1722731485
241,micheweni,-4.9667,39.8333,23.48,81,6,4.71,TZ,1722731486
242,halifax,44.6453,-63.5724,21.94,95,100,0.89,CA,1722730732
243,pao de acucar,-9.7483,-37.4367,18.77,93,0,1.1,BR,1722731488
244,ust-nera,64.5667,143.2,15.76,45,65,3.04,RU,1722731489
245,susuman,62.7833,148.1667,14.69,39,11,1.6,RU,1722731490
